id_venta,id_factura,id_abono,id_equipo,id_operacion,id_pago,id_cliente,cantidad,costo_abono,precio_abono,costo_equipo,precio_equipo
1,1,1,1,1,1,1,1,7000,15000,35000,45000
2,2,2,10,1,2,2,1,10000,20000,29000,39000
3,3,3,5,1,3,3,1,13000,26000,38000,48000
4,4,4,3,1,4,4,1,16000,32000,30000,40000
5,5,1,7,1,5,5,1,7000,15000,34000,44000
6,6,2,8,1,6,6,1,10000,20000,40000,50000
7,7,3,4,1,7,7,1,13000,26000,32000,42000
8,8,4,6,1,1,8,1,16000,32000,37000,47000
9,9,1,2,1,2,9,1,7000,15000,28000,38000
10,10,2,9,1,3,10,1,10000,20000,32000,42000
11,11,3,8,1,4,11,1,13000,26000,40000,50000
12,12,4,3,1,5,12,1,16000,32000,30000,40000
13,13,1,10,1,6,13,1,7000,15000,29000,39000
14,14,2,6,1,7,14,1,10000,20000,37000,47000
15,15,3,4,1,1,15,1,13000,26000,32000,42000
16,16,4,1,1,2,16,1,16000,32000,35000,45000
17,17,1,2,1,3,17,1,7000,15000,28000,38000
18,18,2,5,1,4,18,1,10000,20000,38000,48000
19,19,3,7,1,5,19,1,13000,26000,34000,44000
20,20,4,9,1,6,20,1,16000,32000,32000,42000
21,21,1,3,1,7,21,1,7000,15000,30000,40000
22,22,2,4,1,1,22,1,10000,20000,32000,42000
23,23,3,6,1,2,23,1,13000,26000,37000,47000
24,24,4,1,1,3,24,1,16000,32000,35000,45000
25,25,1,5,1,4,25,1,7000,15000,38000,48000
26,26,2,7,1,5,26,1,10000,20000,34000,44000
27,27,3,8,1,6,27,1,13000,26000,40000,50000
28,28,4,10,1,7,28,1,16000,32000,29000,39000
29,29,1,2,1,1,29,1,7000,15000,28000,38000
30,30,2,9,1,2,30,1,10000,20000,32000,42000
31,31,3,6,1,3,31,1,13000,26000,37000,47000
32,32,4,4,1,4,32,1,16000,32000,32000,42000
33,33,1,1,1,5,33,1,7000,15000,35000,45000
34,34,2,2,1,6,34,1,10000,20000,28000,38000
35,35,3,5,1,7,35,1,13000,26000,38000,48000
36,36,4,7,1,1,36,1,16000,32000,34000,44000
37,37,1,9,1,2,37,1,7000,15000,32000,42000
38,38,2,8,1,3,38,1,10000,20000,40000,50000
39,39,3,6,1,4,39,1,13000,26000,37000,47000
40,40,4,10,1,5,40,1,16000,32000,29000,39000
41,41,1,3,1,6,41,1,7000,15000,30000,40000
42,42,2,4,1,7,42,1,10000,20000,32000,42000
43,43,3,1,1,1,43,1,13000,26000,35000,45000
44,44,4,2,1,2,44,1,16000,32000,28000,38000
45,45,1,5,1,3,45,1,7000,15000,38000,48000
46,46,2,7,1,4,46,1,10000,20000,34000,44000
47,47,3,9,1,5,47,1,13000,26000,32000,42000
48,48,4,8,1,6,48,1,16000,32000,40000,50000
49,49,1,6,1,7,49,1,7000,15000,37000,47000
50,50,2,10,1,1,50,1,10000,20000,29000,39000
