id_empleado,id_operacion,fecha_de_asignacion
5,1,2022-01-09 14:30:00
6,1,2022-01-09 14:30:00
7,2,2022-02-14 15:00:00
8,2,2022-02-14 15:00:00
5,3,2022-03-09 16:00:00
6,3,2022-03-09 16:00:00
7,4,2022-04-09 10:00:00
8,4,2022-04-09 10:00:00
5,5,2022-05-14 11:00:00
9,5,2022-05-14 11:00:00
6,6,2022-06-19 12:30:00
7,6,2022-06-19 12:30:00
8,7,2022-07-24 09:00:00
9,7,2022-07-24 09:00:00
5,8,2022-08-14 17:00:00
6,8,2022-08-14 17:00:00
7,9,2022-09-19 13:00:00
8,9,2022-09-19 13:00:00
5,10,2022-10-24 14:30:00
9,10,2022-10-24 14:30:00
6,11,2022-11-09 10:00:00
7,11,2022-11-09 10:00:00
8,12,2022-12-14 15:00:00
9,12,2022-12-14 15:00:00
5,13,2022-12-24 11:00:00
6,13,2022-12-24 11:00:00
7,14,2023-01-09 15:00:00
8,14,2023-01-09 15:00:00
5,15,2023-02-14 16:00:00
9,15,2023-02-14 16:00:00
6,16,2023-03-19 09:00:00
7,16,2023-03-19 09:00:00
8,17,2023-04-09 10:30:00
9,17,2023-04-09 10:30:00
5,18,2023-05-14 11:30:00
6,18,2023-05-14 11:30:00
7,19,2023-06-19 12:00:00
8,19,2023-06-19 12:00:00
5,20,2023-07-09 17:00:00
9,20,2023-07-09 17:00:00
6,21,2023-08-14 12:00:00
7,21,2023-08-14 12:00:00
8,22,2023-09-09 08:00:00
9,22,2023-09-09 08:00:00
5,23,2023-10-14 11:30:00
6,23,2023-10-14 11:30:00
7,24,2023-11-19 09:00:00
8,24,2023-11-19 09:00:00
5,25,2023-12-09 18:00:00
9,25,2023-12-09 18:00:00
6,26,2024-01-14 13:00:00
7,26,2024-01-14 13:00:00
8,27,2024-02-09 10:00:00
9,27,2024-02-09 10:00:00
5,28,2024-03-14 12:00:00
6,28,2024-03-14 12:00:00
7,29,2024-04-09 16:00:00
8,29,2024-04-09 16:00:00
5,30,2024-05-14 11:30:00
9,30,2024-05-14 11:30:00
6,31,2024-06-09 08:00:00
7,31,2024-06-09 08:00:00
8,32,2024-07-14 13:00:00
9,32,2024-07-14 13:00:00
5,33,2024-08-09 18:00:00
6,33,2024-08-09 18:00:00
7,34,2024-09-14 12:00:00
8,34,2024-09-14 12:00:00
5,35,2024-10-09 10:00:00
9,35,2024-10-09 10:00:00
6,36,2024-11-14 11:30:00
7,36,2024-11-14 11:30:00
8,37,2024-12-09 17:00:00
9,37,2024-12-09 17:00:00
5,38,2024-01-19 13:00:00
6,38,2024-01-19 13:00:00
7,39,2024-02-14 09:00:00
8,39,2024-02-14 09:00:00
5,40,2024-03-19 11:30:00
9,40,2024-03-19 11:30:00
6,41,2024-04-09 16:00:00
7,41,2024-04-09 16:00:00
8,42,2024-05-14 12:00:00
9,42,2024-05-14 12:00:00
5,43,2024-06-09 08:00:00
6,43,2024-06-09 08:00:00
7,44,2024-07-14 13:00:00
8,44,2024-07-14 13:00:00
5,45,2024-08-09 17:00:00
9,45,2024-08-09 17:00:00
6,46,2024-09-14 11:30:00
7,46,2024-09-14 11:30:00
8,47,2024-10-09 09:00:00
9,47,2024-10-09 09:00:00
5,48,2024-11-14 10:30:00
6,48,2024-11-14 10:30:00
7,49,2024-12-09 18:00:00
8,49,2024-12-09 18:00:00
5,50,2024-01-24 12:00:00
9,50,2024-01-24 12:00:00
6,51,2024-02-24 08:00:00
7,51,2024-02-24 08:00:00
8,52,2024-03-24 11:30:00
9,52,2024-03-24 11:30:00
5,53,2024-04-24 17:00:00
6,53,2024-04-24 17:00:00
7,54,2024-05-24 13:00:00
8,54,2024-05-24 13:00:00
5,55,2024-06-24 09:00:00
9,55,2024-06-24 09:00:00
6,56,2024-07-24 11:00:00
7,56,2024-07-24 11:00:00
5,57,2024-08-24 16:00:00
6,57,2024-08-24 16:00:00
7,58,2024-09-24 12:00:00
8,58,2024-09-24 12:00:00
9,59,2024-10-24 10:00:00
5,59,2024-10-24 10:00:00
6,60,2024-11-24 11:30:00
7,60,2024-11-24 11:30:00
8,61,2024-12-24 17:00:00
9,61,2024-12-24 17:00:00
5,62,2024-01-30 12:00:00
6,62,2024-01-30 12:00:00
7,63,2024-02-28 09:00:00
8,63,2024-02-28 09:00:00
9,64,2024-03-29 10:30:00
5,64,2024-03-29 10:30:00
6,65,2024-04-29 17:00:00
7,65,2024-04-29 17:00:00
8,66,2024-05-29 12:00:00
9,66,2024-05-29 12:00:00
5,67,2024-06-29 09:00:00
6,67,2024-06-29 09:00:00
7,68,2024-07-29 11:00:00
8,68,2024-07-29 11:00:00
9,69,2024-08-29 18:00:00
5,69,2024-08-29 18:00:00
6,70,2024-09-29 13:00:00
7,70,2024-09-29 13:00:00
8,71,2024-10-29 10:00:00
9,71,2024-10-29 10:00:00
5,72,2024-11-29 12:00:00
6,72,2024-11-29 12:00:00
7,73,2024-12-29 16:00:00
8,73,2024-12-29 16:00:00
9,74,2024-01-30 11:00:00
5,74,2024-01-30 11:00:00
6,75,2024-02-28 09:00:00
7,75,2024-02-28 09:00:00
8,76,2024-03-30 10:00:00
9,76,2024-03-30 10:00:00
5,77,2024-04-29 18:00:00
6,77,2024-04-29 18:00:00
7,78,2024-05-30 12:00:00
8,78,2024-05-30 12:00:00
9,79,2024-06-29 10:00:00
5,79,2024-06-29 10:00:00
6,80,2024-07-30 11:30:00
7,80,2024-07-30 11:30:00
8,81,2024-08-30 16:00:00
9,81,2024-08-30 16:00:00
5,82,2024-09-29 13:00:00
6,82,2024-09-29 13:00:00
7,83,2024-10-30 09:00:00
8,83,2024-10-30 09:00:00
9,84,2024-11-29 10:00:00
5,84,2024-11-29 10:00:00
6,85,2024-12-30 18:00:00
7,85,2024-12-30 18:00:00
8,86,2024-01-30 12:00:00
9,86,2024-01-30 12:00:00
5,87,2024-02-28 09:00:00
6,87,2024-02-28 09:00:00
7,88,2024-03-30 10:00:00
8,88,2024-03-30 10:00:00
9,89,2024-04-29 16:00:00
5,89,2024-04-29 16:00:00
6,90,2024-05-30 13:00:00
7,90,2024-05-30 13:00:00
8,91,2024-06-29 09:00:00
9,91,2024-06-29 09:00:00
5,92,2024-07-30 11:00:00
6,92,2024-07-30 11:00:00
7,93,2024-08-30 18:00:00
8,93,2024-08-30 18:00:00
9,94,2024-09-29 12:00:00
5,94,2024-09-29 12:00:00
6,95,2024-10-30 10:00:00
7,95,2024-10-30 10:00:00
8,96,2024-11-29 11:00:00
9,96,2024-11-29 11:00:00
5,97,2024-12-30 16:00:00
6,97,2024-12-30 16:00:00
7,98,2024-01-30 13:00:00
